,Year_approx,Lake_name,Glacier_name,GL_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Lake_type,Transboundary,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Repeat
453,2011.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
454,2011.0,Halji,Halji,Ephemeral,30.27,81.475,5347.0,30.219,81.514,3706.0,Supraglacial,1,Nepal,Karnali,Humla,Missing,Missing,Missing,1
455,2012.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
456,2012.0,Sosot,Sosot,GL073196E36026N,36.027,73.196,4485.0,36.163,73.134,2474.0,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Gilgit,Missing,Missing,Missing,1
457,2012.0,Teztor,Teztor,GL079841E42200N,42.5366,74.4273,3606.0,42.58,74.481,2015.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Ala Archa,Missing,High temperatures,Missing,1
458,2013.0,Central Rimo,Central Rimo,GL077605E35421N,35.418,77.606,5100.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
459,2013.0,Gandukh,Gandukh,GL071128E36474N,36.474746,71.128953,4593.0,36.428243,71.293178,2800.0,Moraine dammed,1,Afghanistan,Badakhshan,Sanglich,Glacier melt,Water level rise,Moraine collapse,0
460,2013.0,Jeruy,Unnamed Glacier in Kyrgyzstan,GL079841E42200N,41.9871,76.8145,3815.0,42.079135,76.863884,1973.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Missing,Missing,Subglacial tunnel,0
461,2013.0,Chorabari,Chorabari,No lake,30.747,79.064,3841.0,30.732,79.066,3520.0,Moraine dammed,0,India,Uttarakhand,Alaknanda,Glacier melt,Intense rainfall,Moraine collapse,0
462,2013.0,Ranzeria Co,Unnamed Glacier in China,GL093533E30470N,30.469308,93.53215,5020.0,30.424,93.505,4498.0,Moraine dammed,0,China,TAR,Bianba,Missing,Missing,Missing,0
463,2014.0,Central Rimo,Central Rimo,GL077605E35421N,35.418,77.606,5100.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
464,2014.0,Karateke,Solnechnyi,GL076820E41978N,41.978,76.821,3758.0,42.034302,76.892969,2289.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Missing,Missing,Missing,0
465,2014.0,Gya,Unnamed Glacier in India,Ephemeral,33.620431,77.613127,5411.0,33.653,77.739,4075.0,Moraine dammed,1,India,Ladakh,Upper Indus,Missing,Missing,Ice core thawing,0
466,2014.0,Nalongzangbu Tributary,Nalongzangbu Tributary,Ephemeral,30.530106,94.944612,3870.0,30.504907,94.94174,3460.0,Moraine dammed,0,China,TAR,China,Missing,Ice avalanche,Missing,0
467,2014.0,Gargoh,Gargoh,Ephemeral,35.997077,74.665676,3887.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Bagrot,Missing,Missing,Missing,1
468,2014.0,Lake number 6,Glacier No 182/Bezymyannyi/TEU-Severny,Ephemeral,43.144,77.277,3380.0,43.156500739130436,77.08971586956521,2000.7391304347825,Supraglacial,0,Kazakhstan,Kazakhstan,Srednii Talgar,Missing,Missing,Missing,1
469,2014.0,Lake number 8,Unnamed Glacier in Kazakhstan,Ephemeral,43.143,77.276,3385.0,43.237,77.259,1412.0,Supraglacial,0,Kazakhstan,Kazakhstan,Middle Talgar,Missing,Missing,Subglacial tunnel,1
470,2015.0,Kyagar,Unnamed Glacier in China,GL077181E35675N,35.677371,77.190788,4880.0,37.982034,76.877846,1450.0,Ice dammed,0,China,Xinjiang,Yarkant,Surging glacier,Missing,Missing,1
